agent1,agent2,iswin,item
Bob,Alice,True,Diesel Engine
Bob,Eve,True,Diesel Engine
Bob,John,True,Diesel Engine
Alice,Bob,True,Electric Engine
Alice,Eve,True,Electric Engine
Alice,John,False,Electric Engine
Eve,Bob,True,Fuel Cell
Eve,Alice,True,Fuel Cell
Eve,John,True,Fuel Cell
John,Alice,False,Electric Engine
Bob,Alice,True,Diesel Engine
Bob,Eve,True,Diesel Engine
Bob,John,True,Diesel Engine
Alice,Bob,True,Electric Engine
Alice,Eve,True,Electric Engine
Alice,John,False,Electric Engine
Eve,Bob,True,Fuel Cell
Eve,Alice,True,Fuel Cell
Eve,John,True,Fuel Cell
John,Alice,False,Electric Engine
Bob,Alice,True,Diesel Engine
Bob,Eve,True,Diesel Engine
Bob,John,True,Diesel Engine
Alice,Bob,True,Electric Engine
Alice,Eve,True,Electric Engine
Alice,John,False,Electric Engine
Eve,Bob,True,Fuel Cell
Eve,Alice,True,Fuel Cell
Eve,John,True,Fuel Cell
John,Alice,False,Electric Engine
Bob,Alice,True,Diesel Engine
Bob,Eve,True,Diesel Engine
Bob,John,True,Diesel Engine
Alice,Bob,True,Electric Engine
Alice,Eve,True,Electric Engine
Alice,John,False,Electric Engine
Eve,Bob,True,Fuel Cell
Eve,Alice,True,Fuel Cell
Eve,John,True,Fuel Cell
John,Alice,False,Electric Engine
Bob,Alice,True,Diesel Engine
Bob,Eve,True,Diesel Engine
Bob,John,True,Diesel Engine
Alice,Bob,True,Electric Engine
Alice,Eve,True,Electric Engine
Alice,John,False,Electric Engine
Eve,Bob,True,Fuel Cell
Eve,Alice,True,Fuel Cell
Eve,John,True,Fuel Cell
John,Alice,False,Electric Engine
Bob,Alice,True,Diesel Engine
Bob,Eve,True,Diesel Engine
Bob,John,True,Diesel Engine
Alice,Bob,True,Electric Engine
Alice,Eve,True,Electric Engine
Alice,John,False,Electric Engine
Eve,Bob,True,Fuel Cell
Eve,Alice,True,Fuel Cell
Eve,John,True,Fuel Cell
John,Alice,False,Electric Engine
Bob,Alice,True,Diesel Engine
Bob,Eve,True,Diesel Engine
Bob,John,True,Diesel Engine
Alice,Bob,True,Electric Engine
Alice,Eve,True,Electric Engine
Alice,John,False,Electric Engine
Eve,Bob,True,Fuel Cell
Eve,Alice,True,Fuel Cell
Eve,John,True,Fuel Cell
John,Alice,False,Electric Engine
Bob,Alice,True,Diesel Engine
Bob,Eve,True,Diesel Engine
Bob,John,True,Diesel Engine
Alice,Bob,True,Electric Engine
Alice,Eve,True,Electric Engine
Alice,John,False,Electric Engine
Eve,Bob,True,Fuel Cell
Eve,Alice,True,Fuel Cell
Eve,John,True,Fuel Cell
John,Alice,False,Electric Engine
